model,sampler,subnet,problem,c2st,std,c2st_median,c2st_mad,time,time_std
flow_matching,ode-tsit5-adaptive,time_mlp,gaussian_linear_uniform,0.5058649986982345,0.0034494170523843,0.5054500102996826,0.001499980688095,8.302448723278939,0.0116203465491703
flow_matching_edm,ode-tsit5-adaptive,time_mlp,gaussian_linear_uniform,0.5086300015449524,0.0031900017799951,0.5086250007152557,0.0028750002384185,8.3122523390688,0.0071769323165864
stable_consistency_model,ode-euler,time_mlp,gaussian_linear_uniform,0.566285002231598,0.0046744004952307,0.5666750073432922,0.0022999942302703,0.6831529337912798,0.7056750571919717
consistency_model,ode-euler,time_mlp,gaussian_mixture,0.6064600050449371,0.0156704682197212,0.6074000000953674,0.0121999979019165,0.4344507318921387,0.4417260613664972
cot_flow_matching,ode-rk45-adaptive,time_mlp,gaussian_mixture,0.5661950051784516,0.0358898548831132,0.5517500042915344,0.0223250091075897,8.588042053952814,0.7077155737497435
diffusion_cosine_F,ode-tsit5-adaptive,time_mlp,gaussian_mixture,0.5286049902439117,0.0106499174907449,0.5285749733448029,0.0065250098705291,9.829372473713011,0.1842431218486719
diffusion_cosine_noise,sde-two_step-adaptive,time_mlp,gaussian_mixture,0.520944994688034,0.0116533186602569,0.5176999866962433,0.0061500072479248,10.4773097589612,0.8741012865783069
diffusion_cosine_v,ode-rk45-adaptive,time_mlp,gaussian_mixture,0.5285300076007843,0.0091245131767075,0.5254749953746796,0.0057500004768371,9.500113698653877,0.6780517720831934
diffusion_edm_ve,sde-two_step-adaptive,time_mlp,gaussian_mixture,0.5661899983882904,0.0327264440727827,0.5641250014305115,0.025175005197525,7.315531948022544,0.3963276239334104
diffusion_edm_vp,sde-two_step-adaptive,time_mlp,gaussian_mixture,0.5234949946403503,0.0076525391322606,0.5229249894618988,0.007200002670288,8.686577073018999,0.6567532363770565
diffusion_edm_vp_ema,sde-two_step-adaptive,time_mlp,gaussian_mixture,0.5272199988365174,0.0071512624669541,0.52674999833107,0.003849983215332,8.607584514096379,0.7209556864184321
